Age,Gender,Nationality,Finish Time,Halfway Time,"Company, Team, or Sponsor"
24,M,ETH,2:11:06,,
24,M,ETH,2:20:15,,
24,M,USA,2:28:54,,
25,M,UGA,2:13:25,,
26,M,KEN,2:14:51,,
26,M,GBR,2:23:49,,
26,M,USA,2:27:33,,
27,M,JPN,2:16:41,,
27,M,USA,2:24:10,,
27,M,FIN,2:29:29,,
28,M,USA,2:15:08,,
28,M,ETH,2:18:24,,
28,M,KEN,2:18:36,,
28,M,USA,2:19:47,,
28,M,USA,2:30:31,,
29,M,UGA,2:22:34,,
29,F,KEN,2:25:10,,
29,M,USA,2:25:45,,
29,F,POR,2:26:00,,
30,M,ETH,2:12:13,,
30,M,JPN,2:14:36,,
30,M,USA,2:26:52,,
30,F,ETH,2:28:36,,
31,M,USA,2:15:39,,
31,M,KEN,2:20:00,,
31,M,GBR,2:25:56,,
31,M,BEL,2:28:00,,
31,F,USA,2:28:11,,
32,M,KEN,2:10:59,,
32,M,RSA,2:16:50,,
32,M,USA,2:23:30,,
32,F,KEN,2:25:07,,
32,M,USA,2:26:59,,
32,M,PER,2:30:33,,
33,M,KEN,2:13:44,,
33,M,USA,2:26:31,,
33,M,USA,2:30:04,,
33,M,FRA,2:30:34,,
34,M,DEN,2:24:40,,
34,M,GER,2:28:06,,
35,M,ETH,2:25:07,,
36,M,ITA,2:25:49,,
36,M,POR,2:29:19,,
36,M,SWE,2:30:56,,
38,F,LAT,2:26:15,,
38,F,ITA,2:29:24,,
39,M,USA,2:13:18,,
39,M,ITA,2:27:35,,
40,M,AUT,2:31:11,,
41,M,ITA,2:19:44,,
41,M,AUS,2:25:09,,
22,M,KEN,2:10:48,,
23,M,USA,2:30:18,,
23,M,USA,2:30:23,,
25,M,ETH,2:12:10,,
25,M,ETH,2:20:30,,
25,M,USA,2:31:12,,
25,M,USA,2:33:13,,
26,F,USA,2:28:23,,
27,M,ETH,2:19:21,,
27,M,USA,2:21:25,,
28,M,JPN,2:13:29,,
28,M,ITA,2:17:12,,
28,M,ETH,2:24:30,,
28,F,ETH,2:25:50,,
28,M,USA,2:31:15,,
29,M,KEN,2:10:34,,
29,M,ETH,2:15:40,,
29,M,CAN,2:30:54,,
29,M,USA,2:33:36,,
29,M,CHN,2:34:15,,
30,M,ETH,2:13:24,,
30,M,USA,2:15:16,,
30,F,ETH,2:25:32,,
30,F,POR,2:25:53,,
30,M,USA,2:29:01,,
30,M,USA,2:33:03,,
31,F,KEN,2:27:03,,
31,F,KEN,2:33:19,,
32,M,KEN,2:15:49,,
32,M,MEX,2:18:06,,
32,M,USA,2:22:07,,
32,M,USA,2:26:35,,
33,M,KEN,2:12:45,,
33,M,ITA,2:23:48,,
33,F,KEN,2:24:25,,
33,M,GBR,2:29:24,,
33,M,USA,2:31:04,,
33,M,USA,2:33:13,,
35,F,ITA,2:33:13,,
36,M,USA,2:32:38,,
37,M,ITA,2:28:22,,
37,M,ESP,2:31:56,,
39,F,LAT,2:28:46,,
39,M,SWE,2:32:35,,
40,M,USA,2:13:32,,
40,M,GBR,2:26:17,,
40,F,FRA,2:26:57,,
40,M,POL,2:29:09,,
41,M,MAR,2:23:13,,
41,M,FRA,2:29:05,,
41,M,FRA,2:33:47,,
20,M,ERI,2:07:51,,
23,M,ETH,2:20:01,,
23,M,ETH,2:23:25,,
23,M,USA,2:27:09,,
25,M,USA,2:24:35,,
25,M,USA,2:27:02,,
26,M,KEN,2:08:53,,
26,M,USA,2:33:24,,
27,M,ETH,2:13:06,,
27,M,ETH,2:17:57,,
27,M,USA,2:19:34,,
28,M,USA,2:15:09,,
28,M,USA,2:20:15,,
28,M,USA,2:28:24,,
28,F,KEN,2:29:08,,
28,M,USA,2:30:39,,
29,M,USA,2:21:09,,
29,M,USA,2:30:07,,
30,M,JPN,2:11:49,,
30,M,UGA,2:14:18,,
30,M,USA,2:16:34,,
30,M,USA,2:19:14,,
30,M,USA,2:25:56,,
30,M,USA,2:26:39,,
30,M,ITA,2:27:42,,
30,F,KEN,2:28:01,,
30,M,USA,2:30:41,,
30,M,USA,2:32:37,,
31,M,USA,2:12:01,,
31,M,USA,2:17:14,,
31,M,UGA,2:21:27,,
31,M,USA,2:24:02,,
31,M,FRA,2:26:50,,
31,M,FRA,2:32:40,,
31,F,BDI,2:33:04,,
32,M,ETH,2:20:54,,
32,F,USA,2:28:13,,
33,M,DEN,2:22:00,,
34,M,ARG,2:20:08,,
34,F,KEN,2:24:26,,
34,M,FRA,2:30:44,,
35,M,USA,2:15:46,,
35,M,USA,2:27:01,,
35,M,FRA,2:29:45,,
36,M,ITA,2:22:10,,
38,M,BEL,2:29:02,,
38,M,ESP,2:29:12,,
39,M,USA,2:11:23,,
39,M,BRA,2:25:34,,
41,M,NED,2:29:50,,
42,M,USA,2:33:18,,
22,M,ETH,2:11:52,,
24,M,KEN,2:10:53,,
24,M,ETH,2:13:58,,
24,M,ETH,2:20:29,,
24,M,ETH,2:30:26,,
25,M,ITA,2:25:35,,
25,M,USA,2:28:19,,
26,M,KEN,2:23:40,,
26,M,USA,2:28:26,,
26,M,USA,2:30:06,,
26,M,USA,2:31:24,,
27,M,ETH,2:11:32,,
27,M,USA,2:30:51,,
28,M,BEL,2:13:21,,
28,M,USA,2:22:36,,
28,M,USA,2:29:12,,
28,M,USA,2:31:26,,
29,M,USA,2:18:39,,
30,M,GBR,2:27:11,,
30,M,ETH,2:27:25,,
30,F,USA,2:29:39,,
30,M,NED,2:29:41,,
31,M,ETH,2:21:30,,
31,F,CZE,2:29:41,,
31,M,POL,2:29:47,,
31,F,USA,2:29:56,,
31,M,USA,2:31:33,,
32,M,NED,2:12:39,,
32,M,USA,2:14:57,,
32,M,UGA,2:22:46,,
32,M,ETH,2:23:51,,
32,M,CHI,2:28:17,,
32,F,ITA,2:29:39,,
32,M,ESP,2:30:28,,
32,F,BDI,2:31:21,,
33,M,USA,2:30:05,,
33,M,USA,2:31:39,,
34,F,ETH,2:28:08,,
35,M,KEN,2:10:56,,
35,M,SUI,2:12:01,,
35,F,KEN,2:27:54,,
36,F,USA,2:26:53,,
36,M,ITA,2:27:41,,
37,M,POR,2:31:03,,
37,M,ITA,2:31:12,,
38,F,KEN,2:29:36,,
39,M,ITA,2:28:07,,
40,M,USA,2:12:48,,
40,M,SWE,2:28:42,,
42,M,USA,2:15:29,,
44,M,ESP,2:30:00,,
